"aab1.Primary.solid.Tumor" "aabh.Primary.solid.Tumor" "aabi.Primary.solid.Tumor" "X6879.Primary.solid.Tumor" "a45n.Solid.Tissue.Normal" "a45n.Primary.solid.Tumor" "X7289.Primary.solid.Tumor" "X8519.Primary.solid.Tumor" "a4bk.Primary.solid.Tumor" "a77p.Primary.solid.Tumor" "a77q.Primary.solid.Tumor" "a9tj.Metastatic" "a9tj.Primary.solid.Tumor" "a77e.Primary.solid.Tumor" "a8t5.Primary.solid.Tumor"
"adeno18" 0.652173913043478 0.739130434782609 -0.478260869565217 -0.478260869565217 0.391304347826087 0.0434782608695654 -0.304347826086956 -0.304347826086956 0.652173913043478 0.739130434782609 -0.739130434782608 0.826086956521739 -0.391304347826086 0.217391304347826 -0.652173913043478
"adeno2" -0.521739130434782 -0.391304347826086 0.391304347826087 0.391304347826087 0.130434782608696 0.478260869565217 -0.739130434782608 0.565217391304348 0.565217391304348 -0.478260869565217 -0.304347826086956 -0.391304347826086 -0.304347826086956 0.0434782608695654 -0.130434782608695
"adeno20" 0.91304347826087 -0.521739130434782 0.130434782608696 -0.739130434782608 -0.913043478260869 -0.391304347826086 -0.217391304347826 -0.913043478260869 -0.130434782608695 -0.130434782608695 0.91304347826087 0.652173913043478 0.91304347826087 0.739130434782609 0.565217391304348
"adeno21" 0.478260869565217 -0.826086956521738 -0.565217391304347 0.826086956521739 -0.521739130434782 -0.130434782608695 0.0434782608695654 0.0434782608695654 0.0434782608695654 0.391304347826087 -0.130434782608695 0.217391304347826 0.304347826086957 0.130434782608696 -0.217391304347826
"adeno22" 0.739130434782609 0.91304347826087 0.826086956521739 0.565217391304348 -0.130434782608695 -0.739130434782608 0.739130434782609 -0.652173913043478 -0.217391304347826 0.0434782608695654 -0.913043478260869 -0.826086956521738 -0.913043478260869 -0.391304347826086 -0.913043478260869
"adeno23" 0.304347826086957 0.391304347826087 1 -0.999999999999999 0.652173913043478 0.130434782608696 0.91304347826087 -0.130434782608695 -0.521739130434782 -0.652173913043478 -0.478260869565217 -0.217391304347826 -0.999999999999999 -0.826086956521738 0.478260869565217
"adeno24" 0.0434782608695654 0.478260869565217 0.91304347826087 -0.826086956521738 1 0.826086956521739 -0.478260869565217 -0.391304347826086 0.739130434782609 -0.913043478260869 0.565217391304348 0.739130434782609 -0.565217391304347 -0.521739130434782 0.391304347826087
"adeno3" -0.304347826086956 -0.478260869565217 0.304347826086957 0.130434782608696 0.478260869565217 -0.999999999999999 0.652173913043478 -0.999999999999999 -0.739130434782608 -0.304347826086956 0.0434782608695654 0.130434782608696 0.130434782608696 0.391304347826087 0.217391304347826
"adeno4" 0.826086956521739 -0.739130434782608 -0.913043478260869 0.652173913043478 -0.826086956521738 0.739130434782609 0.391304347826087 0.391304347826087 0.91304347826087 -0.217391304347826 -0.391304347826086 -0.478260869565217 -0.652173913043478 -0.130434782608695 -0.739130434782608
"adeno5" 0.130434782608696 0.0434782608695654 -0.826086956521738 0.91304347826087 -0.565217391304347 0.304347826086957 0.304347826086957 0.478260869565217 -0.391304347826086 -0.999999999999999 0.652173913043478 0.565217391304348 0.0434782608695654 0.652173913043478 -0.999999999999999
"adeno6" 0.391304347826087 -0.999999999999999 0.652173913043478 1 -0.652173913043478 -0.217391304347826 0.478260869565217 -0.739130434782608 -0.652173913043478 -0.391304347826086 0.739130434782609 0.391304347826087 -0.826086956521738 0.304347826086957 0.652173913043478
"adeno7" -0.739130434782608 -0.913043478260869 0.478260869565217 0.217391304347826 -0.391304347826086 -0.521739130434782 0.217391304347826 0.217391304347826 -0.304347826086956 0.304347826086957 0.826086956521739 -0.652173913043478 -0.130434782608695 1 0.739130434782609
"adeno8" -0.217391304347826 0.217391304347826 0.217391304347826 0.478260869565217 0.0434782608695654 -0.304347826086956 -0.565217391304347 -0.478260869565217 0.217391304347826 0.478260869565217 -0.217391304347826 0.0434782608695654 0.478260869565217 0.565217391304348 -0.304347826086956
"adeno9" -0.130434782608695 -0.652173913043478 -0.652173913043478 0.304347826086957 0.826086956521739 0.565217391304348 -0.130434782608695 0.304347826086957 -0.478260869565217 -0.521739130434782 0.304347826086957 0.478260869565217 1 -0.478260869565217 -0.565217391304347
